Question	Answer	Source	Metadata
SIM	"you should make an italian Sim card 
Italian SIM cards are quite cheap and you can get up to 120GB for 10 €/month.
Check out Iliad.
"		
Emergency numbers	"112 - Carabinieri (national police) and General Emergency  
113 - Local police  
115 - Fire department
116 - Roadside assistance from A.C.I. (like AAA; expect to pay for any service)
117 - Finance police (if you ve been cheated)
118 - Medical emergencies
1515 - Forest fires
"		
emergency numbers	"112 - Carabinieri (national police) and General Emergency  
113 - Local police  
115 - Fire department
116 - Roadside assistance from A.C.I. (like AAA; expect to pay for any service)
117 - Finance police (if you ve been cheated)
118 - Medical emergencies
1515 - Forest fires
"		
emergency number	"112 - Carabinieri (national police) and General Emergency  
113 - Local police  
115 - Fire department
116 - Roadside assistance from A.C.I. (like AAA; expect to pay for any service)
117 - Finance police (if you ve been cheated)
118 - Medical emergencies
1515 - Forest fires
"		
Emergency number	"112 - Carabinieri (national police) and General Emergency  
113 - Local police  
115 - Fire department
116 - Roadside assistance from A.C.I. (like AAA; expect to pay for any service)
117 - Finance police (if you ve been cheated)
118 - Medical emergencies
1515 - Forest fires
"		
medical assistance?	You can find the closest ASL by googling “ASL roma” and check on the maps. To get the medical assistance you have to go to the nearest ASL (Azienda Sanitaria Locale) and ask for the general practitioner s assignment, free of charge by showing the codice fiscale and the identity card. In case of emergency, assistance is free in all hospitals.		
medical assistance	You can find the closest ASL by googling “ASL roma” and check on the maps. To get the medical assistance you have to go to the nearest ASL (Azienda Sanitaria Locale) and ask for the general practitioner s assignment, free of charge by showing the codice fiscale and the identity card. In case of emergency, assistance is free in all hospitals.		
doctor?	You can find the closest ASL by googling “ASL roma” and check on the maps. To get the medical assistance you have to go to the nearest ASL (Azienda Sanitaria Locale) and ask for the general practitioner s assignment, free of charge by showing the codice fiscale and the identity card. In case of emergency, assistance is free in all hospitals.		
Doctor?	You can find the closest ASL by googling “ASL roma” and check on the maps. To get the medical assistance you have to go to the nearest ASL (Azienda Sanitaria Locale) and ask for the general practitioner s assignment, free of charge by showing the codice fiscale and the identity card. In case of emergency, assistance is free in all hospitals.		
esncard	Hi mate!!Hi I will provide you everything you need to know about the ESN Card!let s start!!!  wiiiii :D    Fill in the form http://www.esn-roma.it/registrati , and you basically can get your ESN card in the office, the office is open at every tandem event and in some other events, we will update you every week about this, stay in touch!  The card costs 10 €. You can either pay online with Verse or cash at the office.    To take part in our activities, you need an ESN card: the ESN Family gives this card to all of its members. With the ESNcard you can also get discounts with our partners (check here), and you will have the right to get the Ryanair discounts for Erasmus students. You can also use the ESNcard in your home Country!  http://www.esngent.org/sites/default/files/partners/HOW%20TO%20GET%20THE%20RYANAIR%20DEAL%20WITH%20YOUR%20ESNCARD.pdf		
esn card	Hi mate!!Hi I will provide you everything you need to know about the ESN Card!let s start!!!  wiiiii :D    Fill in the form http://www.esn-roma.it/registrati , and you basically can get your ESN card in the office, the office is open at every tandem event and in some other events, we will update you every week about this, stay in touch!  The card costs 10 €. You can either pay online with Verse or cash at the office.    To take part in our activities, you need an ESN card: the ESN Family gives this card to all of its members. With the ESNcard you can also get discounts with our partners (check here), and you will have the right to get the Ryanair discounts for Erasmus students. You can also use the ESNcard in your home Country!  http://www.esngent.org/sites/default/files/partners/HOW%20TO%20GET%20THE%20RYANAIR%20DEAL%20WITH%20YOUR%20ESNCARD.pdf		
esn roma ase 	Hi mate! I can answer you many question you need just write  one of this topic: ESNcard, accomodation, emergency numbers, greenpass,  medical assistance, event schedules		
Greenpass	"Hi mate.. let’s see if i can help you with that                                                                                                                                                               The COVID-19 Green Certificate, a free document in a digital and printable format that makes it easier to attend public events in Italy.
The document attests to one of the following criteria: 
vaccination against Covid-19
negative antigenic or a molecular swab taken within the last 48 hours
recovery from the infection
https://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=english&menu=notizie&p=dalministero&id=5531
Due to Covid some we had to make some changes. 

Most of the information you need is on the Ministero Della Salute website.
There you can find information about the GreenPass, restriction, and covid cases in Italy

You can find more information on the dedicated webpage  have you been vaccinated with Sputnik, Sinovac, or with other vaccines not approved by the EMA?
You must wait for the decision of the Scientific Technical Committee of the Italian Ministry of Health on the possibility of further vaccination. Information will be published as it becomes available.
"		
Green pass	"Hi mate.. let’s see if i can help you with that                                                                                                                                                               The COVID-19 Green Certificate, a free document in a digital and printable format that makes it easier to attend public events in Italy.
The document attests to one of the following criteria: 
vaccination against Covid-19
negative antigenic or a molecular swab taken within the last 48 hours
recovery from the infection
https://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=english&menu=notizie&p=dalministero&id=5531
Due to Covid some we had to make some changes. 

Most of the information you need is on the Ministero Della Salute website.
There you can find information about the GreenPass, restriction, and covid cases in Italy

You can find more information on the dedicated webpage  have you been vaccinated with Sputnik, Sinovac, or with other vaccines not approved by the EMA?
You must wait for the decision of the Scientific Technical Committee of the Italian Ministry of Health on the possibility of further vaccination. Information will be published as it becomes available.
"		
SSS	SSS 		
